Ano,Mês,País Importado,Produto,UF Importadora,Via,FOB (US$)
2020,1,Coreia do Sul,Produtos diversos das indústrias químicas,Santa Catarina,MARITIMA,"176.523,00"
2020,10,Estados Unidos,Outros metais comuns; ceramais (cermets); obras dessas matérias,Paraná,MARITIMA,"176.423,00"
2020,4,China,Obras diversas de metais comuns,Rio Grande do Sul,MARITIMA,"176.416,00"
2020,10,Itália,Frutas; cascas de frutos cítricos e de melões,Rio Grande do Sul,MARITIMA,"176.309,00"
2020,10,Egito,Vidro e suas obras,Santa Catarina,MARITIMA,"176.259,00"
2020,4,Argentina,Plásticos e suas obras,Rio Grande do Sul,RODOVIARIA,"176.243,00"
2020,8,Espanha,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"176.204,00"
2020,8,Uruguai,Borracha e suas obras,Rio Grande do Sul,RODOVIARIA,"176.192,00"
2020,3,Turquia,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"176.060,00"
2020,10,Países Baixos (Holanda),Produtos diversos das indústrias químicas,Santa Catarina,AEREA,"175.898,00"
2020,10,China,Produtos farmacêuticos,Rio Grande do Sul,MARITIMA,"175.876,00"
2020,1,Suécia,Plásticos e suas obras,Rio Grande do Sul,MARITIMA,"175.784,00"
2020,1,Coreia do Sul,Alumínio e suas obras,Rio Grande do Sul,MARITIMA,"175.768,00"
2020,1,Chile,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,Rio Grande do Sul,MARITIMA,"175.524,00"
2020,12,Alemanha,Plásticos e suas obras,Santa Catarina,AEREA,"175.490,00"
2020,1,China,Açúcares e produtos de confeitaria,Santa Catarina,MARITIMA,"175.265,00"
2020,3,Peru,Obras diversas,Paraná,MARITIMA,"175.240,00"
2020,5,Malásia,Borracha e suas obras,Rio Grande do Sul,MARITIMA,"175.172,00"
2020,4,Itália,Cacau e suas preparações,Santa Catarina,MARITIMA,"175.116,00"
2020,5,Japão,Borracha e suas obras,Santa Catarina,MARITIMA,"175.098,00"
2020,9,França,Produtos diversos das indústrias químicas,Santa Catarina,MARITIMA,"175.010,00"
2020,4,Alemanha,Plásticos e suas obras,Santa Catarina,AEREA,"174.983,00"
2020,1,Chile,Plásticos e suas obras,Rio Grande do Sul,RODOVIARIA,"174.980,00"
2020,4,Alemanha,Plásticos e suas obras,Paraná,AEREA,"174.859,00"
2020,9,Japão,Borracha e suas obras,Rio Grande do Sul,MARITIMA,"174.847,00"
2020,7,Hong Kong,Alumínio e suas obras,Rio Grande do Sul,MARITIMA,"174.769,00"
2020,4,Estados Unidos,Produtos químicos orgânicos,Santa Catarina,AEREA,"174.747,00"
2020,11,China,Plásticos e suas obras,Paraná,AEREA,"174.734,00"
2020,10,Taiwan (Formosa),Produtos para fotografia e cinematografia,Santa Catarina,MARITIMA,"174.528,00"
2020,11,Nova Caledônia,Outros metais comuns; ceramais (cermets); obras dessas matérias,Santa Catarina,MARITIMA,"174.511,00"
2020,10,Espanha,Adubos (fertilizantes),Paraná,MARITIMA,"174.455,00"
2020,6,França,Obras diversas de metais comuns,Paraná,MARITIMA,"174.449,00"
2020,12,México,Borracha e suas obras,Rio Grande do Sul,MARITIMA,"174.354,00"
2020,5,Alemanha,Obras diversas de metais comuns,Santa Catarina,MARITIMA,"174.316,00"
2020,10,Chile,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"174.283,00"
2020,2,Suécia,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"174.257,00"
2020,1,Estados Unidos,Alumínio e suas obras,Santa Catarina,MARITIMA,"174.250,00"
2020,12,China,Açúcares e produtos de confeitaria,Paraná,MARITIMA,"174.232,00"
2020,2,Arábia Saudita,Borracha e suas obras,Santa Catarina,MARITIMA,"174.195,00"
2020,6,Índia,Filamentos sintéticos ou artificiais,Paraná,MARITIMA,"174.117,00"
2020,6,Ucrânia,Plásticos e suas obras,Santa Catarina,MARITIMA,"174.107,00"
2020,12,Canadá,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Paraná,MARITIMA,"174.049,00"
2020,4,Espanha,Borracha e suas obras,Paraná,MARITIMA,"173.956,00"
2020,5,Estados Unidos,Outros metais comuns; ceramais (cermets); obras dessas matérias,Paraná,MARITIMA,"173.899,00"
2020,7,Alemanha,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,Paraná,MARITIMA,"173.837,00"
2020,7,Ucrânia,Plásticos e suas obras,Santa Catarina,MARITIMA,"173.791,00"
2020,11,Itália,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Santa Catarina,MARITIMA,"173.737,00"
2020,7,Bélgica,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,Paraná,MARITIMA,"173.729,00"
2020,9,Eslovênia,Produtos farmacêuticos,Paraná,MARITIMA,"173.665,00"
2020,1,Omã,Plásticos e suas obras,Santa Catarina,MARITIMA,"173.583,00"
2020,10,Espanha,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Rio Grande do Sul,MARITIMA,"173.581,00"
2020,12,Eslovênia,Produtos farmacêuticos,Paraná,MARITIMA,"173.576,00"
2020,7,Itália,Produtos cerâmicos,Paraná,MARITIMA,"173.387,00"
2020,4,Estados Unidos,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"173.387,00"
2020,10,Japão,Produtos para fotografia e cinematografia,Santa Catarina,MARITIMA,"173.336,00"
2020,10,Uruguai,Frutas; cascas de frutos cítricos e de melões,Rio Grande do Sul,RODOVIARIA,"173.308,00"
2020,11,Japão,Produtos farmacêuticos,Santa Catarina,MARITIMA,"173.305,00"
2020,10,Argentina,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Rio Grande do Sul,RODOVIARIA,"173.294,00"
2020,4,Chile,Produtos diversos das indústrias químicas,Paraná,RODOVIARIA,"173.154,00"
2020,11,Portugal,Plásticos e suas obras,Santa Catarina,MARITIMA,"173.144,00"
2020,8,China,Produtos farmacêuticos,Rio Grande do Sul,AEREA,"173.100,00"
2020,3,China,Obras diversas de metais comuns,Rio Grande do Sul,AEREA,"173.054,00"
2020,8,Tailândia,Produtos diversos das indústrias químicas,Santa Catarina,MARITIMA,"173.025,00"
2020,8,Hong Kong,Obras diversas de metais comuns,Santa Catarina,MARITIMA,"173.015,00"
2020,11,Peru,Cereais,Santa Catarina,MARITIMA,"173.011,00"
2020,12,Espanha,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Rio Grande do Sul,MARITIMA,"172.922,00"
